"ID","ISDELETED","NAME","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","JOB_TYPE__C"
"a00580000068iTlAAI","false","Upload data","00D58000000dk7oEAA","2016-08-30T13:35:27.000Z","00558000001Tb1nAAC","2016-08-30T13:35:27.000Z","00558000001Tb1nAAC","2016-08-31T01:45:12.000Z","Upload_data"
"a0058000005mlqmAAA","false","Apply metadata","00D58000000dk7oEAA","2016-08-18T10:46:57.000Z","00558000001Tb1nAAC","2016-08-18T10:49:51.000Z","00558000001Tb1nAAC","2016-08-19T01:21:11.000Z","Apply_metadata"
